Headline,Label
"Episode #159 – SUNDAY WIRE: ‘Tick-Tock USA’ with guests Dr Marcus Papadopoulos, Basil Valentin
",1
"Kinky Cakes: Inside The World Of Adult Bakeries
",0
"Trump to Bannon and Kushner: Work this out
",0
"She Disappeared Without A Trace In 1850, Then They Found This Years Late
",1
"The Orlando Mass Shooting: Further Proof That We Need Stricter Gun Laws
",1
"Adam Galinsky: What Drives Us To Speak Up?
",0
"U.S. Soldier Killed In Afghanistan
",0
"Would You Board the Titanic II? An Eerily Similar Replica of the Doomed Ship Will Set Sail in 2017
",1
"Former Trump Campaign Head Manafort Was Paid Millions By A Putin Ally, AP Says
",0
"Longtime mistress says Bill Clinton had 2,000 sex partners, Hillary is a lesbian, It was a marriage of convenience
",1
"Researchers Test Hotter, Faster And Cleaner Way To Fight Oil Spills
",0
"HE’S NEVER SOLD AN ORIGINAL PAINTING UNTIL NOW…And This One’s Going In The White Hous
",1
"New Device Restrictions On Some Flights: Few Facts, Many Questions
",0
"Hannity (PICS): Donald Trump Reportedly Sent One Of His Planes To Transport 200 Stranded Marines
",1
"Feminist Clapbacks FTW: What To Say Next Time You Run Into A Meninist
",1
"Forget Wikileaks...this is the real October Surprise that is going to stop Hillary
",1
"BREAKING: Weiner Cooperating With FBI On Hillary Email Investigatio
",1
"Senators Whine About FCC’s 25 Mbps Broadband Standard, Insist Nobody Needs That Much Bandwidth
",1
"Taser Changes Its Name To Axon And Offers Free Body Cameras For Police
",0
"Congress Votes To Dismantle The Statue Of Liberty – “Give Me Your Tired And Poor” Is Misleading To Immigrants
",1
"Muslims BUSTED: They Stole Millions In Gov’t Benefit
",1
"CHINA JUST ISSUED A NUCLEAR WARNING TO THE UNITED STATES
",1
"Donald Trump Sues ‘Loser’ Artist Over ‘Obscene’ Billboard, Playing Cards, Says Report
",1
"How Russian Twitter Bots Pumped Out Fake News During The 2016 Election
",0
"‘Cash Me Outside Girl’ Found Dead, Possible Russian Hacking Connection
",1
"SMALL ALIEN CREATURE WITH HELMET CAUGHT ON TAPE IN MEXICO
",1
"Woman's Father Refuses To Give Her Away At Her Wedding, So She Gets A Little Help From Her Boss
",1
"Twitter Withdraws Lawsuit After DHS Drops Demands For Alt-Account's Identity
",0
"WIKI: Clinton out of touch, cronyistic, didn't drive car in 35 years, flew all over world but accomplished nothing..
",1
"WikiLeaks: Clinton Team Told To ‘Undermine Benghazi Hearings
",1
"Netflix’s ‘House of Cards’ Under Fire For Disrespectful Flag Logo
",1
"Christian Anti-Masturbation Mascot Arrested For Public Masturbation At Japanese Embassy
",1
"5 children hurt when bounce houses go airborne
",0
"A Mountain Lion Kitten Is Found, Leading To Excitement And Concern
",0
"Cecil The Lion ‘Truther’ Denies Lion’s Existence, ‘Seeks Hide’
",1
"Will the Syria chemical attack change Trump's mind about refugees too?
",0
"Stabenow To Vote Against Gorsuch, Says Country Needs Mainstream Judges
",0
"Education Department Casts Doubts On Public Service Loan Forgiveness
",0
"Trump Surveillance Flap Throws Monkey Wrench Into House Russia Investigation
",0
