Headline,NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,NumOfAdjectives,Bigrams,Bi-freq,unigrams,un-freq,trigram,tri-freq,Label
"Internet Erupts In Mockery After Sarah Palin Posts Something Monumentally Stupid Again
",12,86,0,0,0,0,"[('internet', 'erupts'), ('erupts', 'mockery'), ('mockery', 'palin'), ('palin', 'posts'), ('posts', 'something')]",10,"[('internet',), ('erupts',), ('mockery',), ('palin',), ('posts',), ('something',)]",6,"[('internet', 'erupts', 'mockery'), ('erupts', 'mockery', 'palin'), ('mockery', 'palin', 'posts'), ('palin', 'posts', 'something')]",12,1
"‘I Don’t Rent To N s’: Smoking Gun Proves Trump Family Racism (VIDEO) | Addicting Info | The Knowledge You 
",20,106,3,0,1,0,"[('‘', 'i'), ('i', 'rent'), ('rent', '’'), ('’', 'smoking'), ('smoking', 'gun'), ('gun', 'family'), ('family', 'racism'), ('racism', 'video'), ('video', '|'), ('|', 'knowledge')]",20,"[('‘',), ('i',), ('rent',), ('’',), ('smoking',), ('gun',), ('family',), ('racism',), ('video',), ('|',), ('knowledge',)]",11,"[('‘', 'i', 'rent'), ('i', 'rent', '’'), ('rent', '’', 'smoking'), ('’', 'smoking', 'gun'), ('smoking', 'gun', 'family'), ('gun', 'family', 'racism'), ('family', 'racism', 'video'), ('racism', 'video', '|'), ('video', '|', 'knowledge')]",27,1
"The Toronto Star Published An ‘Unauthorized Database’ Of Things That Will INFURIATE Trump
",13,89,0,0,1,0,"[('toronto', 'star'), ('star', 'database'), ('database', '’'), ('’', 'things'), ('things', 'trump')]",10,"[('toronto',), ('star',), ('database',), ('’',), ('things',), ('trump',)]",6,"[('toronto', 'star', 'database'), ('star', 'database', '’'), ('database', '’', 'things'), ('’', 'things', 'trump')]",12,1
"Michelle Obama Poses In A Pretty Dress, So Racist Conservatives Call Her A ‘Monkey’
",14,83,1,0,0,0,"[('obama', 'poses'), ('poses', 'dress'), ('dress', 'conservatives'), ('conservatives', '‘'), ('‘', 'monkey'), ('monkey', '’')]",12,"[('obama',), ('poses',), ('dress',), ('conservatives',), ('‘',), ('monkey',), ('’',)]",7,"[('obama', 'poses', 'dress'), ('poses', 'dress', 'conservatives'), ('dress', 'conservatives', '‘'), ('conservatives', '‘', 'monkey'), ('‘', 'monkey', '’')]",15,1
"SMALL ALIEN CREATURE WITH HELMET CAUGHT ON TAPE IN MEXICO
",10,57,0,0,10,0,"[('creature', 'caught'), ('caught', 'tape'), ('tape', 'mexico')]",6,"[('creature',), ('caught',), ('tape',), ('mexico',)]",4,"[('creature', 'caught', 'tape'), ('caught', 'tape', 'mexico')]",6,1
"AUDI CREATES DIESEL FUEL FROM WATER AND CO2 THAT LEAVES ZERO-CARBON FOOTPRINT
",12,77,0,0,13,0,"[('audi', 'fuel'), ('fuel', 'water'), ('water', 'co2'), ('co2', 'footprint')]",8,"[('audi',), ('fuel',), ('water',), ('co2',), ('footprint',)]",5,"[('audi', 'fuel', 'water'), ('fuel', 'water', 'co2'), ('water', 'co2', 'footprint')]",9,1
"Sean Spicer Handed Mid-Briefing Note Saying, “You Just Committed A Felony”
",11,74,1,0,0,0,"[('spicer', 'note'), ('note', '“'), ('“', 'felony'), ('felony', '”')]",8,"[('spicer',), ('note',), ('“',), ('felony',), ('”',)]",5,"[('spicer', 'note', '“'), ('note', '“', 'felony'), ('“', 'felony', '”')]",9,1
"Donald Trump is a Genius – But That’s Just His IQ
",11,49,0,0,1,0,"[('donald', 'trump'), ('trump', '–'), ('–', '’'), ('’', 'iq')]",8,"[('donald',), ('trump',), ('–',), ('’',), ('iq',)]",5,"[('donald', 'trump', '–'), ('trump', '–', '’'), ('–', '’', 'iq')]",9,1
"UFO Investigator - MAX SPIERS - Found Dead After Vomiting Black Liquid
",12,70,0,0,3,0,"[('investigator', 'max'), ('max', 'spiers'), ('spiers', 'liquid')]",6,"[('investigator',), ('max',), ('spiers',), ('liquid',)]",4,"[('investigator', 'max', 'spiers'), ('max', 'spiers', 'liquid')]",6,1
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master
",15,81,1,0,0,0,"[('mandela', 'effect'), ('effect', 'year'), ('year', 'man'), ('man', 'master')]",8,"[('mandela',), ('effect',), ('year',), ('man',), ('master',)]",5,"[('mandela', 'effect', 'year'), ('effect', 'year', 'man'), ('year', 'man', 'master')]",9,1
